validation_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
882.39306640625,1701921304,False,1,66ee13c9,2023-12-07_03-55-04,2.6616997718811035,2.6616997718811035,1030,afe3f6cc6de0,172.29.0.2,2.6616997718811035,1,
713.4837036132812,1701921305,False,2,66ee13c9,2023-12-07_03-55-05,0.8268454074859619,3.4885451793670654,1030,afe3f6cc6de0,172.29.0.2,3.4885451793670654,2,
627.6845092773438,1701921306,False,3,66ee13c9,2023-12-07_03-55-06,0.8320670127868652,4.320612192153931,1030,afe3f6cc6de0,172.29.0.2,4.320612192153931,3,
597.1218872070312,1701921307,False,4,66ee13c9,2023-12-07_03-55-07,0.8237314224243164,5.144343614578247,1030,afe3f6cc6de0,172.29.0.2,5.144343614578247,4,
583.4962158203125,1701921308,False,5,66ee13c9,2023-12-07_03-55-08,0.8233535289764404,5.9676971435546875,1030,afe3f6cc6de0,172.29.0.2,5.9676971435546875,5,
575.1181640625,1701921308,False,6,66ee13c9,2023-12-07_03-55-08,0.8260500431060791,6.793747186660767,1030,afe3f6cc6de0,172.29.0.2,6.793747186660767,6,
569.2264404296875,1701921309,False,7,66ee13c9,2023-12-07_03-55-09,0.8250393867492676,7.618786573410034,1030,afe3f6cc6de0,172.29.0.2,7.618786573410034,7,
564.5795288085938,1701921310,False,8,66ee13c9,2023-12-07_03-55-10,0.8241004943847656,8.4428870677948,1030,afe3f6cc6de0,172.29.0.2,8.4428870677948,8,
560.7794189453125,1701921311,False,9,66ee13c9,2023-12-07_03-55-11,0.8221423625946045,9.265029430389404,1030,afe3f6cc6de0,172.29.0.2,9.265029430389404,9,
557.2168579101562,1701921312,False,10,66ee13c9,2023-12-07_03-55-12,0.8210759162902832,10.086105346679688,1030,afe3f6cc6de0,172.29.0.2,10.086105346679688,10,
553.083984375,1701921312,False,11,66ee13c9,2023-12-07_03-55-12,0.825005054473877,10.911110401153564,1030,afe3f6cc6de0,172.29.0.2,10.911110401153564,11,
547.4578247070312,1701921313,False,12,66ee13c9,2023-12-07_03-55-13,0.8284742832183838,11.739584684371948,1030,afe3f6cc6de0,172.29.0.2,11.739584684371948,12,
541.912109375,1701921314,False,13,66ee13c9,2023-12-07_03-55-14,0.8307015895843506,12.570286273956299,1030,afe3f6cc6de0,172.29.0.2,12.570286273956299,13,
537.1217041015625,1701921315,False,14,66ee13c9,2023-12-07_03-55-15,0.8309121131896973,13.401198387145996,1030,afe3f6cc6de0,172.29.0.2,13.401198387145996,14,
532.8054809570312,1701921316,False,15,66ee13c9,2023-12-07_03-55-16,0.8330366611480713,14.234235048294067,1030,afe3f6cc6de0,172.29.0.2,14.234235048294067,15,
529.4547119140625,1701921317,False,16,66ee13c9,2023-12-07_03-55-17,0.8308026790618896,15.065037727355957,1030,afe3f6cc6de0,172.29.0.2,15.065037727355957,16,
526.2576293945312,1701921317,False,17,66ee13c9,2023-12-07_03-55-17,0.8339352607727051,15.898972988128662,1030,afe3f6cc6de0,172.29.0.2,15.898972988128662,17,
523.84228515625,1701921318,False,18,66ee13c9,2023-12-07_03-55-18,0.8323299884796143,16.731302976608276,1030,afe3f6cc6de0,172.29.0.2,16.731302976608276,18,
522.1071166992188,1701921319,False,19,66ee13c9,2023-12-07_03-55-19,0.8332877159118652,17.56459069252014,1030,afe3f6cc6de0,172.29.0.2,17.56459069252014,19,
520.2496948242188,1701921320,False,20,66ee13c9,2023-12-07_03-55-20,0.8312010765075684,18.39579176902771,1030,afe3f6cc6de0,172.29.0.2,18.39579176902771,20,
518.8040161132812,1701921321,False,21,66ee13c9,2023-12-07_03-55-21,0.8366878032684326,19.232479572296143,1030,afe3f6cc6de0,172.29.0.2,19.232479572296143,21,
517.5800170898438,1701921322,False,22,66ee13c9,2023-12-07_03-55-22,0.8282558917999268,20.06073546409607,1030,afe3f6cc6de0,172.29.0.2,20.06073546409607,22,
516.477294921875,1701921322,False,23,66ee13c9,2023-12-07_03-55-22,0.8303854465484619,20.89112091064453,1030,afe3f6cc6de0,172.29.0.2,20.89112091064453,23,
515.3857421875,1701921323,False,24,66ee13c9,2023-12-07_03-55-23,0.8309216499328613,21.722042560577393,1030,afe3f6cc6de0,172.29.0.2,21.722042560577393,24,
514.1953125,1701921324,False,25,66ee13c9,2023-12-07_03-55-24,0.8304250240325928,22.552467584609985,1030,afe3f6cc6de0,172.29.0.2,22.552467584609985,25,
513.313232421875,1701921325,False,26,66ee13c9,2023-12-07_03-55-25,0.8285799026489258,23.38104748725891,1030,afe3f6cc6de0,172.29.0.2,23.38104748725891,26,
512.4710083007812,1701921326,False,27,66ee13c9,2023-12-07_03-55-26,0.8307607173919678,24.21180820465088,1030,afe3f6cc6de0,172.29.0.2,24.21180820465088,27,
511.4961853027344,1701921327,False,28,66ee13c9,2023-12-07_03-55-27,0.8295488357543945,25.041357040405273,1030,afe3f6cc6de0,172.29.0.2,25.041357040405273,28,
510.5500183105469,1701921327,False,29,66ee13c9,2023-12-07_03-55-27,0.8307147026062012,25.872071743011475,1030,afe3f6cc6de0,172.29.0.2,25.872071743011475,29,
509.5901184082031,1701921328,False,30,66ee13c9,2023-12-07_03-55-28,0.8251388072967529,26.697210550308228,1030,afe3f6cc6de0,172.29.0.2,26.697210550308228,30,
508.68341064453125,1701921329,False,31,66ee13c9,2023-12-07_03-55-29,0.823371410369873,27.5205819606781,1030,afe3f6cc6de0,172.29.0.2,27.5205819606781,31,
507.80865478515625,1701921330,False,32,66ee13c9,2023-12-07_03-55-30,0.8224563598632812,28.343038320541382,1030,afe3f6cc6de0,172.29.0.2,28.343038320541382,32,
506.9112854003906,1701921331,False,33,66ee13c9,2023-12-07_03-55-31,0.821986198425293,29.165024518966675,1030,afe3f6cc6de0,172.29.0.2,29.165024518966675,33,
505.8043518066406,1701921332,False,34,66ee13c9,2023-12-07_03-55-32,0.8201789855957031,29.985203504562378,1030,afe3f6cc6de0,172.29.0.2,29.985203504562378,34,
505.0830078125,1701921332,False,35,66ee13c9,2023-12-07_03-55-32,0.8242475986480713,30.80945110321045,1030,afe3f6cc6de0,172.29.0.2,30.80945110321045,35,
504.4679870605469,1701921333,False,36,66ee13c9,2023-12-07_03-55-33,0.824272632598877,31.633723735809326,1030,afe3f6cc6de0,172.29.0.2,31.633723735809326,36,
503.5800476074219,1701921334,False,37,66ee13c9,2023-12-07_03-55-34,0.8251800537109375,32.458903789520264,1030,afe3f6cc6de0,172.29.0.2,32.458903789520264,37,
502.8478088378906,1701921335,False,38,66ee13c9,2023-12-07_03-55-35,0.8209807872772217,33.279884576797485,1030,afe3f6cc6de0,172.29.0.2,33.279884576797485,38,
502.21966552734375,1701921336,False,39,66ee13c9,2023-12-07_03-55-36,0.8238182067871094,34.103702783584595,1030,afe3f6cc6de0,172.29.0.2,34.103702783584595,39,
501.5412292480469,1701921337,False,40,66ee13c9,2023-12-07_03-55-37,0.8309793472290039,34.9346821308136,1030,afe3f6cc6de0,172.29.0.2,34.9346821308136,40,
500.9334716796875,1701921337,False,41,66ee13c9,2023-12-07_03-55-37,0.8329880237579346,35.76767015457153,1030,afe3f6cc6de0,172.29.0.2,35.76767015457153,41,
500.4542541503906,1701921338,False,42,66ee13c9,2023-12-07_03-55-38,0.8331136703491211,36.600783824920654,1030,afe3f6cc6de0,172.29.0.2,36.600783824920654,42,
499.9810485839844,1701921339,False,43,66ee13c9,2023-12-07_03-55-39,0.8353166580200195,37.436100482940674,1030,afe3f6cc6de0,172.29.0.2,37.436100482940674,43,
499.5403137207031,1701921340,False,44,66ee13c9,2023-12-07_03-55-40,0.831761360168457,38.26786184310913,1030,afe3f6cc6de0,172.29.0.2,38.26786184310913,44,
499.1743469238281,1701921341,False,45,66ee13c9,2023-12-07_03-55-41,0.8317105770111084,39.09957242012024,1030,afe3f6cc6de0,172.29.0.2,39.09957242012024,45,
498.5169372558594,1701921342,False,46,66ee13c9,2023-12-07_03-55-42,0.8289892673492432,39.92856168746948,1030,afe3f6cc6de0,172.29.0.2,39.92856168746948,46,
497.9534912109375,1701921342,False,47,66ee13c9,2023-12-07_03-55-42,0.8302135467529297,40.75877523422241,1030,afe3f6cc6de0,172.29.0.2,40.75877523422241,47,
497.4886779785156,1701921343,False,48,66ee13c9,2023-12-07_03-55-43,0.8250093460083008,41.58378458023071,1030,afe3f6cc6de0,172.29.0.2,41.58378458023071,48,
497.1530456542969,1701921344,False,49,66ee13c9,2023-12-07_03-55-44,0.8234238624572754,42.40720844268799,1030,afe3f6cc6de0,172.29.0.2,42.40720844268799,49,
496.88134765625,1701921345,False,50,66ee13c9,2023-12-07_03-55-45,0.8193454742431641,43.22655391693115,1030,afe3f6cc6de0,172.29.0.2,43.22655391693115,50,
496.4174499511719,1701921346,False,51,66ee13c9,2023-12-07_03-55-46,0.822798490524292,44.049352407455444,1030,afe3f6cc6de0,172.29.0.2,44.049352407455444,51,
496.13385009765625,1701921347,False,52,66ee13c9,2023-12-07_03-55-47,0.8288826942443848,44.87823510169983,1030,afe3f6cc6de0,172.29.0.2,44.87823510169983,52,
495.5626525878906,1701921347,False,53,66ee13c9,2023-12-07_03-55-47,0.8327243328094482,45.71095943450928,1030,afe3f6cc6de0,172.29.0.2,45.71095943450928,53,
495.229248046875,1701921348,False,54,66ee13c9,2023-12-07_03-55-48,0.8324007987976074,46.543360233306885,1030,afe3f6cc6de0,172.29.0.2,46.543360233306885,54,
494.7633056640625,1701921349,False,55,66ee13c9,2023-12-07_03-55-49,0.832216739654541,47.375576972961426,1030,afe3f6cc6de0,172.29.0.2,47.375576972961426,55,
494.5058898925781,1701921350,False,56,66ee13c9,2023-12-07_03-55-50,0.8300108909606934,48.20558786392212,1030,afe3f6cc6de0,172.29.0.2,48.20558786392212,56,
494.2318115234375,1701921351,False,57,66ee13c9,2023-12-07_03-55-51,0.830815315246582,49.0364031791687,1030,afe3f6cc6de0,172.29.0.2,49.0364031791687,57,
493.86376953125,1701921352,False,58,66ee13c9,2023-12-07_03-55-52,0.8273823261260986,49.8637855052948,1030,afe3f6cc6de0,172.29.0.2,49.8637855052948,58,
493.6460266113281,1701921352,False,59,66ee13c9,2023-12-07_03-55-52,0.8319625854492188,50.69574809074402,1030,afe3f6cc6de0,172.29.0.2,50.69574809074402,59,
493.4464111328125,1701921353,False,60,66ee13c9,2023-12-07_03-55-53,0.8338334560394287,51.52958154678345,1030,afe3f6cc6de0,172.29.0.2,51.52958154678345,60,
492.8758239746094,1701921354,False,61,66ee13c9,2023-12-07_03-55-54,0.8342220783233643,52.36380362510681,1030,afe3f6cc6de0,172.29.0.2,52.36380362510681,61,
492.5838317871094,1701921355,False,62,66ee13c9,2023-12-07_03-55-55,0.8303089141845703,53.19411253929138,1030,afe3f6cc6de0,172.29.0.2,53.19411253929138,62,
492.303955078125,1701921356,False,63,66ee13c9,2023-12-07_03-55-56,0.8326687812805176,54.0267813205719,1030,afe3f6cc6de0,172.29.0.2,54.0267813205719,63,
492.0152893066406,1701921357,False,64,66ee13c9,2023-12-07_03-55-57,0.8320267200469971,54.8588080406189,1030,afe3f6cc6de0,172.29.0.2,54.8588080406189,64,
491.83843994140625,1701921357,False,65,66ee13c9,2023-12-07_03-55-57,0.8351380825042725,55.69394612312317,1030,afe3f6cc6de0,172.29.0.2,55.69394612312317,65,
491.49700927734375,1701921358,False,66,66ee13c9,2023-12-07_03-55-58,0.8338541984558105,56.52780032157898,1030,afe3f6cc6de0,172.29.0.2,56.52780032157898,66,
491.083251953125,1701921359,False,67,66ee13c9,2023-12-07_03-55-59,0.8331179618835449,57.360918283462524,1030,afe3f6cc6de0,172.29.0.2,57.360918283462524,67,
490.82611083984375,1701921360,False,68,66ee13c9,2023-12-07_03-56-00,0.8319847583770752,58.1929030418396,1030,afe3f6cc6de0,172.29.0.2,58.1929030418396,68,
490.5335693359375,1701921361,False,69,66ee13c9,2023-12-07_03-56-01,0.8314406871795654,59.024343729019165,1030,afe3f6cc6de0,172.29.0.2,59.024343729019165,69,
490.2507629394531,1701921362,False,70,66ee13c9,2023-12-07_03-56-02,0.8307147026062012,59.855058431625366,1030,afe3f6cc6de0,172.29.0.2,59.855058431625366,70,
489.9600524902344,1701921362,False,71,66ee13c9,2023-12-07_03-56-02,0.8069334030151367,60.6619918346405,1030,afe3f6cc6de0,172.29.0.2,60.6619918346405,71,
489.7300109863281,1701921363,False,72,66ee13c9,2023-12-07_03-56-03,0.8041801452636719,61.466171979904175,1030,afe3f6cc6de0,172.29.0.2,61.466171979904175,72,
489.44622802734375,1701921364,False,73,66ee13c9,2023-12-07_03-56-04,0.8027522563934326,62.26892423629761,1030,afe3f6cc6de0,172.29.0.2,62.26892423629761,73,
489.195068359375,1701921365,False,74,66ee13c9,2023-12-07_03-56-05,0.7990918159484863,63.068016052246094,1030,afe3f6cc6de0,172.29.0.2,63.068016052246094,74,
488.881591796875,1701921366,False,75,66ee13c9,2023-12-07_03-56-06,0.799426794052124,63.86744284629822,1030,afe3f6cc6de0,172.29.0.2,63.86744284629822,75,
488.5335693359375,1701921366,False,76,66ee13c9,2023-12-07_03-56-06,0.8134579658508301,64.68090081214905,1030,afe3f6cc6de0,172.29.0.2,64.68090081214905,76,
488.33892822265625,1701921367,False,77,66ee13c9,2023-12-07_03-56-07,0.8042230606079102,65.48512387275696,1030,afe3f6cc6de0,172.29.0.2,65.48512387275696,77,
488.00054931640625,1701921368,False,78,66ee13c9,2023-12-07_03-56-08,0.8172085285186768,66.30233240127563,1030,afe3f6cc6de0,172.29.0.2,66.30233240127563,78,
487.8091735839844,1701921369,False,79,66ee13c9,2023-12-07_03-56-09,0.8226635456085205,67.12499594688416,1030,afe3f6cc6de0,172.29.0.2,67.12499594688416,79,
487.544189453125,1701921370,False,80,66ee13c9,2023-12-07_03-56-10,0.8210315704345703,67.94602751731873,1030,afe3f6cc6de0,172.29.0.2,67.94602751731873,80,
487.3558349609375,1701921370,False,81,66ee13c9,2023-12-07_03-56-10,0.82181715965271,68.76784467697144,1030,afe3f6cc6de0,172.29.0.2,68.76784467697144,81,
487.0994567871094,1701921371,False,82,66ee13c9,2023-12-07_03-56-11,0.8280181884765625,69.595862865448,1030,afe3f6cc6de0,172.29.0.2,69.595862865448,82,
486.8297119140625,1701921372,False,83,66ee13c9,2023-12-07_03-56-12,0.8195209503173828,70.41538381576538,1030,afe3f6cc6de0,172.29.0.2,70.41538381576538,83,
486.5892639160156,1701921373,False,84,66ee13c9,2023-12-07_03-56-13,0.8123972415924072,71.22778105735779,1030,afe3f6cc6de0,172.29.0.2,71.22778105735779,84,
486.4058532714844,1701921374,False,85,66ee13c9,2023-12-07_03-56-14,0.821723461151123,72.04950451850891,1030,afe3f6cc6de0,172.29.0.2,72.04950451850891,85,
486.1266174316406,1701921375,False,86,66ee13c9,2023-12-07_03-56-15,0.8211381435394287,72.87064266204834,1030,afe3f6cc6de0,172.29.0.2,72.87064266204834,86,
485.9286804199219,1701921375,False,87,66ee13c9,2023-12-07_03-56-15,0.8215010166168213,73.69214367866516,1030,afe3f6cc6de0,172.29.0.2,73.69214367866516,87,
485.7680358886719,1701921376,False,88,66ee13c9,2023-12-07_03-56-16,0.8230781555175781,74.51522183418274,1030,afe3f6cc6de0,172.29.0.2,74.51522183418274,88,
485.4386291503906,1701921377,False,89,66ee13c9,2023-12-07_03-56-17,0.8303356170654297,75.34555745124817,1030,afe3f6cc6de0,172.29.0.2,75.34555745124817,89,
485.2912902832031,1701921378,False,90,66ee13c9,2023-12-07_03-56-18,0.8217086791992188,76.16726613044739,1030,afe3f6cc6de0,172.29.0.2,76.16726613044739,90,
485.05999755859375,1701921379,False,91,66ee13c9,2023-12-07_03-56-19,0.8177182674407959,76.98498439788818,1030,afe3f6cc6de0,172.29.0.2,76.98498439788818,91,
484.8381042480469,1701921380,False,92,66ee13c9,2023-12-07_03-56-20,0.8173680305480957,77.80235242843628,1030,afe3f6cc6de0,172.29.0.2,77.80235242843628,92,
484.62847900390625,1701921380,False,93,66ee13c9,2023-12-07_03-56-20,0.816472053527832,78.61882448196411,1030,afe3f6cc6de0,172.29.0.2,78.61882448196411,93,
484.34716796875,1701921381,False,94,66ee13c9,2023-12-07_03-56-21,0.8170289993286133,79.43585348129272,1030,afe3f6cc6de0,172.29.0.2,79.43585348129272,94,
484.3061218261719,1701921382,False,95,66ee13c9,2023-12-07_03-56-22,0.8217089176177979,80.25756239891052,1030,afe3f6cc6de0,172.29.0.2,80.25756239891052,95,
484.05224609375,1701921383,False,96,66ee13c9,2023-12-07_03-56-23,0.8067591190338135,81.06432151794434,1030,afe3f6cc6de0,172.29.0.2,81.06432151794434,96,
483.8127746582031,1701921384,False,97,66ee13c9,2023-12-07_03-56-24,0.8169798851013184,81.88130140304565,1030,afe3f6cc6de0,172.29.0.2,81.88130140304565,97,
483.7269592285156,1701921384,False,98,66ee13c9,2023-12-07_03-56-24,0.8183038234710693,82.69960522651672,1030,afe3f6cc6de0,172.29.0.2,82.69960522651672,98,
483.49835205078125,1701921385,False,99,66ee13c9,2023-12-07_03-56-25,0.8203103542327881,83.51991558074951,1030,afe3f6cc6de0,172.29.0.2,83.51991558074951,99,
483.41461181640625,1701921386,True,100,66ee13c9,2023-12-07_03-56-26,0.8214073181152344,84.34132289886475,1030,afe3f6cc6de0,172.29.0.2,84.34132289886475,100,
